model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN
deepseek-r1_32b,ObfuscationDetectionV3,0.6,0.91,0.99,0.95,1.0,-0.01,89,0,9,1
deepseek-r1_32b,ObfuscationDetectionV3,0.7,0.96,0.81,0.88,0.33,0.48,73,6,3,17
deepseek-r1_32b,ObfuscationDetectionV3,0.8,0.96,0.24,0.39,0.11,0.13,22,8,1,68
deepseek-r1_32b,ObfuscationDetectionV3,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90
gemma3_27b,ObfuscationDetectionV1,0.1,0.91,1.0,0.95,1.0,0.0,88,0,9,0
gemma3_27b,ObfuscationDetectionV1,0.2,0.91,0.98,0.94,1.0,-0.02,86,0,9,2
gemma3_27b,ObfuscationDetectionV1,0.3,0.92,0.91,0.91,0.78,0.13,80,2,7,8
gemma3_27b,ObfuscationDetectionV1,0.4,0.94,0.68,0.79,0.44,0.24,60,5,4,28
gemma3_27b,ObfuscationDetectionV1,0.5,0.98,0.45,0.62,0.11,0.34,40,8,1,48
gemma3_27b,ObfuscationDetectionV1,0.6,1.0,0.33,0.5,0.0,0.33,29,9,0,59
gemma3_27b,ObfuscationDetectionV1,0.7,1.0,0.26,0.41,0.0,0.26,23,9,0,65
gemma3_27b,ObfuscationDetectionV1,0.8,1.0,0.16,0.27,0.0,0.16,14,9,0,74
gemma3_27b,ObfuscationDetectionV1,0.9,1.0,0.07,0.13,0.0,0.07,6,9,0,82
gemma3_27b,ObfuscationDetectionV2,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0
gemma3_27b,ObfuscationDetectionV2,0.2,0.91,0.99,0.95,1.0,-0.01,89,0,9,1
gemma3_27b,ObfuscationDetectionV2,0.3,0.92,0.94,0.93,0.78,0.17,85,2,7,5
gemma3_27b,ObfuscationDetectionV2,0.4,0.94,0.68,0.79,0.44,0.23,61,5,4,29
gemma3_27b,ObfuscationDetectionV2,0.5,0.98,0.5,0.66,0.11,0.39,45,8,1,45
gemma3_27b,ObfuscationDetectionV2,0.6,0.97,0.36,0.52,0.11,0.24,32,8,1,58
gemma3_27b,ObfuscationDetectionV2,0.7,1.0,0.23,0.38,0.0,0.23,21,9,0,69
gemma3_27b,ObfuscationDetectionV2,0.8,1.0,0.13,0.24,0.0,0.13,12,9,0,78
gemma3_27b,ObfuscationDetectionV2,0.9,1.0,0.06,0.11,0.0,0.06,5,9,0,85
gemma3_27b,ObfuscationDetectionV3,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0
gemma3_27b,ObfuscationDetectionV3,0.2,0.91,0.98,0.94,1.0,-0.02,88,0,9,2
gemma3_27b,ObfuscationDetectionV3,0.3,0.93,0.93,0.93,0.67,0.27,84,3,6,6
gemma3_27b,ObfuscationDetectionV3,0.4,0.94,0.73,0.82,0.44,0.29,66,5,4,24
gemma3_27b,ObfuscationDetectionV3,0.5,0.98,0.59,0.74,0.11,0.48,53,8,1,37
gemma3_27b,ObfuscationDetectionV3,0.6,0.98,0.43,0.6,0.11,0.32,39,8,1,51
gemma3_27b,ObfuscationDetectionV3,0.7,1.0,0.26,0.41,0.0,0.26,23,9,0,67
gemma3_27b,ObfuscationDetectionV3,0.8,1.0,0.12,0.22,0.0,0.12,11,9,0,79
gemma3_27b,ObfuscationDetectionV3,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV1,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0
qwen3_30b,ObfuscationDetectionV1,0.2,0.9,0.84,0.87,0.89,-0.04,76,1,8,14
qwen3_30b,ObfuscationDetectionV1,0.3,0.89,0.19,0.31,0.22,-0.03,17,7,2,73
qwen3_30b,ObfuscationDetectionV1,0.4,1.0,0.01,0.02,0.0,0.01,1,9,0,89
qwen3_30b,ObfuscationDetectionV1,0.5,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV1,0.6,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV1,0.7,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV1,0.8,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV1,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV2,0.1,0.91,0.99,0.95,1.0,-0.01,89,0,9,1
qwen3_30b,ObfuscationDetectionV2,0.2,0.93,0.44,0.6,0.33,0.11,40,6,3,50
qwen3_30b,ObfuscationDetectionV2,0.3,0.0,0.0,NaN,0.11,-0.11,0,8,1,90
qwen3_30b,ObfuscationDetectionV2,0.4,NaN,0.0,NaN,0.0,0.0,0,9,0,90
