model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN,TP_ArithmeticBranch,FN_ArithmeticBranch,Recall_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,Recall_CallIndirection,TP_ClassRename,FN_ClassRename,Recall_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,Recall_ConstStringEncryption,TP_FieldRename,FN_FieldRename,Recall_FieldRename,TP_Goto,FN_Goto,Recall_Goto,TP_MethodOverload,FN_MethodOverload,Recall_MethodOverload,TP_MethodRename,FN_MethodRename,Recall_MethodRename,TP_Reflection,FN_Reflection,Recall_Reflection
gpt-5-mini,ObfuscationDetectionV1,0.6,1.0,0.37,0.54,0.0,0.37,33,9,0,57,1,10,0.09,6,4,0.6,10,0,1.0,7,3,0.7,3,7,0.3,0,10,0.0,0,10,0.0,5,5,0.5,1,8,0.11
gpt-5-mini,ObfuscationDetectionV1,0.7,1.0,0.29,0.45,0.0,0.29,26,9,0,64,1,10,0.09,5,5,0.5,10,0,1.0,7,3,0.7,0,10,0.0,0,10,0.0,0,10,0.0,3,7,0.3,0,9,0.0
gpt-5-mini,ObfuscationDetectionV1,0.8,1.0,0.14,0.25,0.0,0.14,13,9,0,77,0,11,0.0,1,9,0.1,10,0,1.0,2,8,0.2,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-5-mini,ObfuscationDetectionV1,0.9,1.0,0.11,0.2,0.0,0.11,10,9,0,80,0,11,0.0,0,10,0.0,10,0,1.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-5-mini,ObfuscationDetectionV2,0.1,1.0,0.81,0.9,0.0,0.81,73,9,0,17,9,2,0.82,9,1,0.9,10,0,1.0,10,0,1.0,10,0,1.0,4,6,0.4,7,3,0.7,10,0,1.0,4,5,0.44
gpt-5-mini,ObfuscationDetectionV2,0.2,1.0,0.72,0.84,0.0,0.72,65,9,0,25,8,3,0.73,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,6,4,0.6,9,1,0.9,4,5,0.44
gpt-5-mini,ObfuscationDetectionV2,0.3,1.0,0.7,0.82,0.0,0.7,63,9,0,27,8,3,0.73,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,5,5,0.5,9,1,0.9,3,6,0.33
gpt-5-mini,ObfuscationDetectionV2,0.4,1.0,0.62,0.77,0.0,0.62,56,9,0,34,5,6,0.45,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,3,7,0.3,8,2,0.8,2,7,0.22
gpt-5-mini,ObfuscationDetectionV2,0.5,1.0,0.53,0.7,0.0,0.53,48,9,0,42,5,6,0.45,7,3,0.7,10,0,1.0,9,1,0.9,7,3,0.7,0,10,0.0,0,10,0.0,8,2,0.8,2,7,0.22
gpt-5-mini,ObfuscationDetectionV2,0.6,1.0,0.43,0.6,0.0,0.43,39,9,0,51,4,7,0.36,7,3,0.7,10,0,1.0,7,3,0.7,5,5,0.5,0,10,0.0,0,10,0.0,5,5,0.5,1,8,0.11
